"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2012To31-Dec-2012 (Total-2438) (Total-2438)",,,,,,,,,
Sl no.,``````,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1656,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1083,1083,1083,12-Jan-12
1839,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,980,1035,1008,12-Jan-12
2353,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,870,1220,1045,12-Jan-12
2364,Bijapur,Sindagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1200,1050,12-Jan-12
2392,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1280,1280,1280,12-Jan-12
260,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,985,1032,990,13-Jan-12
387,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1200,1620,1450,13-Jan-12
592,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,920,1250,1150,13-Jan-12
804,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1076,1237,1125,13-Jan-12
818,Bidar,Bidar,Bajra(Pearl Millet/Cumbu),Local,FAQ,1000,1016,1000,13-Jan-12
1327,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,951,1175,1025,13-Jan-12
1492,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1000,1000,13-Jan-12
1655,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1083,1098,1092,13-Jan-12
2090,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,986,1007,995,13-Jan-12
2352,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,875,1335,1105,13-Jan-12
591,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,930,1180,1050,14-Jan-12
1326,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,955,1152,1015,14-Jan-12
2019,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,Medium,920,1030,1000,15-Jan-12
2020,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,920,1030,1000,15-Jan-12
259,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,981,1030,1021,16-Jan-12
803,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1046,1109,1109,16-Jan-12
1026,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,1050,1000,16-Jan-12
1418,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1050,1050,1050,16-Jan-12
1502,Bagalkot,Hungund,Bajra(Pearl Millet/Cumbu),Local,FAQ,1001,1003,0,16-Jan-12
1620,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1051,1071,1065,16-Jan-12
1654,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,960,1081,1010,16-Jan-12
2089,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,920,1010,1000,16-Jan-12
2351,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,820,1250,1035,16-Jan-12
2434,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,1009,900,16-Jan-12
258,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,991,1001,1001,17-Jan-12
590,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,925,1125,1050,17-Jan-12
802,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1060,1140,1080,17-Jan-12
