"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2017To31-Dec-2017 (Total-2572) (Total-2572)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1641,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1065,1091,1089,9-Nov-17
1750,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1025,1025,9-Nov-17
2016,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,100,1300,1100,9-Nov-17
2344,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1066,1339,1339,9-Nov-17
2444,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,931,1086,1029,9-Nov-17
139,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1051,1222,1076,10-Nov-17
299,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2000,2100,2050,10-Nov-17
487,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1080,1160,1105,10-Nov-17
727,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,888,1555,1202,10-Nov-17
947,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1100,1050,10-Nov-17
1060,Gadag,Gadag,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,921,956,950,10-Nov-17
1640,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1090,1105,1100,10-Nov-17
2015,Raichur,Lingasugur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1280,1155,10-Nov-17
2443,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,939,1088,1032,10-Nov-17
138,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1065,1250,1091,11-Nov-17
486,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1050,1119,1081,11-Nov-17
1159,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1044,1342,1164,11-Nov-17
2343,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1096,1166,1166,11-Nov-17
2442,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,939,1041,1026,11-Nov-17
1400,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1080,1120,1100,12-Nov-17
1749,Koppal,Kustagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1025,1025,1025,12-Nov-17
137,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1065,1150,1068,13-Nov-17
298,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,2000,2100,2050,13-Nov-17
485,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,1056,1100,1080,13-Nov-17
