"Min,Max,Modal Price from Karnataka[Rice] from 01-Jan-2013To31-Dec-2013 (Total-5194) (Total-5194)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
213,Bangalore,Bangalore,Rice,Medium,FAQ,3500,3700,3600,16-May-13
214,Bangalore,Bangalore,Rice,Dappa,FAQ,1600,2000,1900,16-May-13
215,Bangalore,Bangalore,Rice,Fine,FAQ,3800,4600,4000,16-May-13
661,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1460,1620,1580,16-May-13
662,Kolar,Bangarpet,Rice,Sona Fine,FAQ,3280,3700,3540,16-May-13
954,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2200,2900,2600,16-May-13
1624,Kolar,Chintamani,Rice,Hansa,FAQ,2100,2500,2100,16-May-13
1625,Kolar,Chintamani,Rice,Broken Rice,FAQ,1670,1900,1800,16-May-13
1626,Kolar,Chintamani,Rice,Sona,FAQ,3620,4800,4500,16-May-13
1999,Koppal,Gangavathi,Rice,Other,FAQ,2020,2080,2060,16-May-13
2171,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,2000,2600,2400,16-May-13
2172,Gulbarga,Gulbarga,Rice,Fine,FAQ,2600,4200,3800,16-May-13
3129,Madikeri(Kodagu),Madikeri,Rice,Other,FAQ,3153,3153,3153,16-May-13
3393,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,3270,3280,3275,16-May-13
3394,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2500,2550,2530,16-May-13
3395,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,3100,3150,3120,16-May-13
3767,Kolar,Mulabagilu,Rice,Broken Rice,FAQ,1300,2000,1650,16-May-13
3768,Kolar,Mulabagilu,Rice,Medium,FAQ,1500,2500,2000,16-May-13
3769,Kolar,Mulabagilu,Rice,CR 1009 (Coarse) Boiled,FAQ,1500,2500,2000,16-May-13
3941,Mysore,Mysore (Bandipalya),Rice,Coarse,FAQ,2000,2400,2200,16-May-13
4234,Shimoga,Shikaripura,Rice,Broken Rice,Medium,1800,2965,2000,16-May-13
4235,Shimoga,Shikaripura,Rice,Fine,Medium,1500,2500,2100,16-May-13
4485,Shimoga,Shimoga,Rice,Medium,FAQ,2400,3250,2825,16-May-13
4486,Shimoga,Shimoga,Rice,Fine,FAQ,3250,4250,4150,16-May-13
4487,Shimoga,Shimoga,Rice,Coarse,FAQ,2200,2400,2300,16-May-13
5089,Udupi,Udupi,Rice,Kachha Basmati,FAQ,2200,4000,3000,16-May-13
210,Bangalore,Bangalore,Rice,Fine,FAQ,3800,4600,4000,17-May-13
211,Bangalore,Bangalore,Rice,Dappa,FAQ,1600,2000,1900,17-May-13
212,Bangalore,Bangalore,Rice,Medium,FAQ,3500,3700,3600,17-May-13
659,Kolar,Bangarpet,Rice,Sona Fine,FAQ,3280,3700,3540,17-May-13
660,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1460,1620,1580,17-May-13
953,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2200,2900,2600,17-May-13
1188,Bidar,Bidar,Rice,Broken Rice,FAQ,2100,2600,2400,17-May-13
1189,Bidar,Bidar,Rice,CR 1009 (Coarse) Boiled,FAQ,3200,4300,4120,17-May-13
1621,Kolar,Chintamani,Rice,Sona,FAQ,3600,4850,4600,17-May-13
1622,Kolar,Chintamani,Rice,Broken Rice,FAQ,1650,1880,1750,17-May-13
1623,Kolar,Chintamani,Rice,Hansa,FAQ,2150,2540,2420,17-May-13
2023,Madikeri(Kodagu),Gonikappal,Rice,Coarse,FAQ,2500,2500,2500,17-May-13
2169,Gulbarga,Gulbarga,Rice,Fine,FAQ,2600,4100,3850,17-May-13
2170,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,2000,2600,2450,17-May-13
2373,Chamrajnagar,Gundlupet,Rice,Broken Rice,FAQ,1350,2000,1665,17-May-13
2468,Haveri,Haveri,Rice,Coarse,Medium,1720,1900,1780,17-May-13
2711,Mysore,Hunsur,Rice,Medium,Medium,1550,1550,1550,17-May-13
2855,Mysore,K.R.Nagar,Rice,Coarse,Medium,1980,1980,1980,17-May-13
3390,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,3100,3150,3120,17-May-13
3391,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2500,2550,2530,17-May-13
3392,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,3270,3280,3275,17-May-13
3939,Mysore,Mysore (Bandipalya),Rice,Coarse,FAQ,2000,2400,2200,17-May-13
3940,Mysore,Mysore (Bandipalya),Rice,Broken Rice,FAQ,1800,2000,1900,17-May-13
4175,Haveri,Ranebennur,Rice,Medium,Medium,1850,1850,1850,17-May-13
4481,Shimoga,Shimoga,Rice,Coarse,FAQ,2200,2400,2300,17-May-13
4482,Shimoga,Shimoga,Rice,Fine,FAQ,3200,4200,4100,17-May-13
4483,Shimoga,Shimoga,Rice,Medium,FAQ,2400,3200,2800,17-May-13
4484,Shimoga,Shimoga,Rice,Broken Rice,FAQ,1250,1250,1250,17-May-13
5088,Udupi,Udupi,Rice,Kachha Basmati,FAQ,2300,3950,3200,17-May-13
207,Bangalore,Bangalore,Rice,Medium,FAQ,3600,3800,3700,18-May-13
