"Min,Max,Modal Price from Karnataka[Green Gram (Moong)(Whole)] from 01-Jan-2008To31-Dec-2008 (Total-2161) (Total-2161)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1918,Haveri,Savanur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2408,2408,2408,21-Aug-08
1774,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2029,2529,2412,21-Aug-08
1250,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,2419,2419,2419,21-Aug-08
490,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,2500,2500,21-Aug-08
1961,Gulbarga,Sedam,Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,2600,2575,21-Aug-08
1186,Gulbarga,Gulbarga,Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,2800,2700,21-Aug-08
1270,Tumkur,Huliyar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2700,2850,2750,21-Aug-08
1003,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2370,3901,2800,21-Aug-08
1485,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2059,3679,3092,21-Aug-08
1664,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,3000,3500,3200,21-Aug-08
106,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,2000,3831,3356,21-Aug-08
2096,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,2355,3752,3439,21-Aug-08
261,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,21-Aug-08
1618,Gadag,Mundaragi,Green Gram (Moong)(Whole),Green (Whole),FAQ,3529,3529,3529,21-Aug-08
1854,Gadag,Rona,Green Gram (Moong)(Whole),Green (Whole),FAQ,3250,3660,3610,21-Aug-08
1773,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,1890,2959,2079,22-Aug-08
489,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,2400,2599,2400,22-Aug-08
776,Bijapur,Bijapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2200,2500,2400,22-Aug-08
1960,Gulbarga,Sedam,Green Gram (Moong)(Whole),Green (Whole),FAQ,2470,2470,2470,22-Aug-08
840,Chitradurga,Chitradurga,Green Gram (Moong)(Whole),Medium,FAQ,2000,3463,2619,22-Aug-08
686,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1800,2726,2651,22-Aug-08
1484,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1905,3809,3029,22-Aug-08
1617,Gadag,Mundaragi,Green Gram (Moong)(Whole),Green (Whole),FAQ,1600,3515,3250,22-Aug-08
1312,Bagalkot,Hungund,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3400,3300,22-Aug-08
2095,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,2255,3781,3422,22-Aug-08
260,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,22-Aug-08
