Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
4344,Buldhana,3000,4500,4500
4345,Buldhana,3501,4600,4600
4346,Buldhana,3500,4351,4351
4347,Buldhana,3500,4545,4545
4348,Buldhana,3800,4776,4776
4349,Buldhana,3850,4701,4701
4350,Buldhana,3500,4646,4646
4351,Buldhana,3950,4680,4680
4352,Buldhana,4000,4900,4900
4353,Buldhana,4200,5050,5050
4354,Buldhana,3825,4650,4650
4355,Buldhana,4000,4800,4800
4356,Nandurbar,4110,4110,4110
4357,Nandurbar,4625,4820,4750
4358,Nandurbar,4400,4400,4400
4359,Nandurbar,4600,4800,4690
4360,Nandurbar,4210,4715,4455
4361,Nandurbar,3500,3500,3500
4362,Nandurbar,4425,4425,4425
4363,Nandurbar,4400,4400,4400
4364,Nandurbar,4800,5575,5175
4365,Nandurbar,3500,5900,4700
4366,Nandurbar,4150,5750,4950
4367,Nandurbar,4130,5701,4900
4368,Nandurbar,3000,5800,4400
4369,Nandurbar,3851,5840,4850
4370,Nandurbar,4200,5800,5000
4371,Nandurbar,4600,5600,5100
4372,Nandurbar,4203,5850,4525
4373,Nandurbar,3625,5650,4625
4374,Nandurbar,3500,5640,4600
4375,Nandurbar,3700,5600,4850
4376,Nandurbar,3400,5600,4500
4377,Nandurbar,3000,4850,3925
4378,Nandurbar,2800,5176,3975
4379,Nandurbar,4986,4986,4986
4380,Nandurbar,4900,4900,4900
4381,Nandurbar,3505,3505,3505
4382,Nandurbar,4500,4900,4900
4383,Nandurbar,4500,4900,4700
4384,Nandurbar,3650,4830,4750
4385,Nandurbar,4848,4848,4848
4386,Nandurbar,4570,4700,4625
4387,Nandurbar,4900,5050,4975
4388,Nandurbar,3000,5073,4025
4389,Nandurbar,3000,5028,4000
4390,Nandurbar,3000,5205,4100
4391,Nandurbar,4500,4500,4500
4392,Nandurbar,4983,5070,5025
4393,Nandurbar,5200,5200,5200
4394,Nandurbar,4501,5032,4750
4395,Nandurbar,4090,4890,4775
4396,Nandurbar,4689,4850,4725
4397,Nandurbar,4200,4700,4450
4398,Nandurbar,4000,4000,4000
4399,Nandurbar,1900,4100,3000
4400,Nandurbar,4600,4700,4650
4401,Nandurbar,3500,4861,4175
4402,Nandurbar,4591,4971,4825
4403,Nandurbar,3900,3900,3900
4404,Nandurbar,6000,6100,6052
4405,Nandurbar,4000,4000,4000
4406,Nandurbar,4600,4600,4600
4407,Nandurbar,5000,5000,5000
4408,Nandurbar,5000,5000,5000
4409,Nandurbar,4500,4800,4575
4410,Nandurbar,4000,4000,4000
4411,Nandurbar,5000,5000,5000
4412,Nandurbar,5100,5100,5100
4413,Yavatmal,4200,4350,4300
4414,Yavatmal,4700,4900,4800
4415,Yavatmal,5400,5600,5500
4416,Yavatmal,4800,5000,4900
4417,Yavatmal,4900,5100,5000
4418,Yavatmal,4900,5100,5000
4419,Yavatmal,4800,5200,5050
4420,Yavatmal,4900,5100,5000
4421,Yavatmal,4300,4500,4400
4422,Yavatmal,4200,4400,4300
4423,Yavatmal,4400,4600,4500
4424,Yavatmal,4200,4400,4300
4425,Yavatmal,4100,4300,4200
4426,Yavatmal,3500,3700,3600
4427,Yavatmal,4400,5200,4500
4428,Yavatmal,4100,4950,4200
4429,Yavatmal,4200,4900,4300
4430,Yavatmal,4000,4600,4100
4431,Yavatmal,3900,4100,4000
4432,Yavatmal,4500,4700,4600
4433,Yavatmal,4500,4800,4600
4434,Latur,4200,4860,4700
4435,Latur,3800,5151,5000
4436,Latur,4400,4901,4800
4437,Latur,4501,5890,5800
4438,Jalgaon,3951,4370,4100
4439,Jalgaon,4331,4700,4521
4440,Jalgaon,3500,4800,4500
4441,Jalgaon,4200,5160,4600
4442,Jalgaon,4251,5000,4500
4443,Jalgaon,4550,5200,4801
